Datum;WorkersRequests;WorkersErrors;KVReads;KVWrites;KVStorageBytes;D1ReadQueries;D1WriteQueries;D1RowsRead;D1RowsWritten;D1StorageBytes;R2ClassAOps;R2ClassBOps;R2StorageBytes;ZoneRequests;ZoneBandwidthBytes
24.08.2026;0;0;0;0;0;43;7;84;33;45056;2;19;8678;0;0
25.08.2026;0;0;0;0;0;163;31;867;114;45056;15;121;1010262;823;5413556
26.08.2026;25;0;0;0;0;254;74;3884;1418;81920;10;116;1012519;1066;3392708
27.08.2026;434;12;0;0;0;1054;5753;97593;21196;20033536;0;24;948472;365;888738
28.08.2026;997;0;0;0;0;1742;22388;7372756;466854;24219648;0;42;948472;1270;5126815
29.08.2026;700;19;0;0;0;1366;3906;1877678;11737;32878592;0;0;948472;777;1958598
30.08.2026;910;0;0;0;0;2003;8672;9587824;101374;35012608;0;14;948472;618;3736283
31.08.2026;1039;0;0;0;0;2045;7597;9542267;27678;37507072;0;0;948472;675;3220394
01.09.2026;1028;2;0;0;0;2538;40635;25727536;125465;33275904;0;8;948472;249;903086
02.09.2026;793;0;0;0;0;1364;146362;17065814;165162;34598912;0;16;948472;1026;2928886
03.09.2026;969;4;0;0;0;1666;146278;17712195;156404;35954688;0;0;948472;1467;4970129
