Datum;Projekt;ComputeTimeSeconds;ActiveTimeSeconds;WrittenDataBytes;DataTransferBytes;StorageBytes
19.08.2026;munotstadtsecurities;7809;30848;0;3674789;49307648
20.08.2026;munotstadtsecurities;9739;38428;0;3901221;49405952
21.08.2026;munotstadtsecurities;13057;51260;0;4522239;49610752
22.08.2026;munotstadtsecurities;15997;62628;0;4808643;49807360
23.08.2026;splintmanager;0;0;0;0;0
23.08.2026;munotstadtsecurities;20073;78344;0;5341174;50036736
24.08.2026;splintmanager;3384;13424;0;2184889;35069952
24.08.2026;munotstadtsecurities;23864;92536;0;5706586;50274304
25.08.2026;splintmanager;3754;14872;0;2341809;35069952
25.08.2026;munotstadtsecurities;26269;101948;0;5964274;50479104
26.08.2026;splintmanager;3990;15804;0;2424968;35069952
26.08.2026;munotstadtsecurities;29853;115744;0;6309934;50675712
27.08.2026;splintmanager;4310;17072;0;2716970;35078144
27.08.2026;munotstadtsecurities;32486;126076;0;7188397;50782208
28.08.2026;splintmanager;4310;17072;0;2716970;35078144
28.08.2026;munotstadtsecurities;38563;149572;0;8258768;50790400
29.08.2026;splintmanager;4310;17072;0;2716970;35078144
29.08.2026;munotstadtsecurities;39823;154544;0;8838344;50814976
30.08.2026;splintmanager;4448;17620;0;3095191;35430400
30.08.2026;munotstadtsecurities;40680;157916;0;8917352;50855936
31.08.2026;splintmanager;4448;17620;0;3095191;35430400
31.08.2026;munotstadtsecurities;41350;160536;0;9045134;50896896
01.09.2026;splintmanager;95;372;0;115033;35438592
01.09.2026;munotstadtsecurities;194;764;0;19752;50921472
02.09.2026;splintmanager;330;1304;0;224901;35438592
02.09.2026;munotstadtsecurities;1117;4400;0;233519;50970624
03.09.2026;splintmanager;330;1304;0;224901;35438592
03.09.2026;munotstadtsecurities;1863;7336;0;410075;51003392
04.09.2026;splintmanager;330;1304;0;224901;35438592
04.09.2026;munotstadtsecurities;2444;9624;0;469331;51052544
05.09.2026;splintmanager;330;1304;0;224901;35438592
05.09.2026;munotstadtsecurities;3312;13012;0;606989;51101696
